Algorithm,Array Size,Input Case,Time (seconds),Memory (KB)
Bitonic Sort,1000,Best,0.074735,10.02
Bitonic Sort,1000,Random,0.078597,10.02
Bitonic Sort,1000,Worst,0.058812,10.02
Bitonic Sort,10000,Best,1.211841,178.12
Bitonic Sort,10000,Random,1.2493,178.12
Bitonic Sort,10000,Worst,1.221883,178.12
Bitonic Sort,100000,Best,13.384195,1267
Bitonic Sort,100000,Random,14.131827,1267
Bitonic Sort,100000,Worst,13.547236,1267
Bitonic Sort,1000000,Best,141.433958,9595.78
Bitonic Sort,1000000,Random,143.607538,9595.78
Bitonic Sort,1000000,Worst,142.382926,9595.78
Block Sort,1000,Best,0.037022,16.05
Block Sort,1000,Random,0.038111,16.05
Block Sort,1000,Worst,0.031514,16.05
Block Sort,10000,Best,0.237952,82.52
Block Sort,10000,Random,0.26321,82.52
Block Sort,10000,Worst,0.234237,82.52
Block Sort,100000,Best,3.485004,1265.64
Block Sort,100000,Random,4.602736,1265.64
Block Sort,100000,Worst,4.478313,1265.64
Block Sort,1000000,Best,41.897248,9633.33
Block Sort,1000000,Random,Time Limit,N/A
Block Sort,1000000,Worst,Time Limit,N/A
Block Sort (Alt),1000,Best,0.031651,15.93
Block Sort (Alt),1000,Random,0.032098,15.93
Block Sort (Alt),1000,Worst,0.033319,15.93
Block Sort (Alt),10000,Best,0.263838,81.68
Block Sort (Alt),10000,Random,0.21955,81.68
Block Sort (Alt),10000,Worst,0.236225,81.68
Block Sort (Alt),100000,Best,3.369471,1264.46
Block Sort (Alt),100000,Random,3.641122,1264.46
Block Sort (Alt),100000,Worst,3.278088,1264.46
Block Sort (Alt),1000000,Best,40.154782,9625.46
Block Sort (Alt),1000000,Random,42.217866,9625.46
Block Sort (Alt),1000000,Worst,38.784462,9625.46
Bubble Sort,1000,Best,0.003336,0.24
Bubble Sort,1000,Random,0.477378,0.3
Bubble Sort,1000,Worst,0.544824,0.3
Bubble Sort,10000,Best,0.028729,0.24
Bubble Sort,10000,Random,67.286233,0.3
Bubble Sort,10000,Worst,89.857999,0.3
Bubble Sort,100000,Best,0.084212,0.24
Bubble Sort,100000,Random,Time Limit,N/A
Bubble Sort,100000,Worst,Time Limit,N/A
Bubble Sort,1000000,Best,0.827622,0.24
Bubble Sort,1000000,Random,Time Limit,N/A
Bubble Sort,1000000,Worst,Time Limit,N/A
Bucket Sort,1000,Best,0.005355,19.92
Bucket Sort,1000,Random,0.010877,19.92
Bucket Sort,1000,Worst,0.013374,19.92
Bucket Sort,10000,Best,0.054636,169.66
Bucket Sort,10000,Random,0.059037,169.66
Bucket Sort,10000,Worst,0.070865,169.66
Bucket Sort,100000,Best,0.29947,1729.63
Bucket Sort,100000,Random,1.200207,1729.6
Bucket Sort,100000,Worst,1.524805,1729.6
Bucket Sort,1000000,Best,3.723585,16344.07
Bucket Sort,1000000,Random,Time Limit,N/A
Bucket Sort,1000000,Worst,Time Limit,N/A
Bucket Sort (Alt),1000,Best,0.009855,20.16
Bucket Sort (Alt),1000,Random,0.005974,20.16
Bucket Sort (Alt),1000,Worst,0.009528,20.16
Bucket Sort (Alt),10000,Best,0.056002,170.58
Bucket Sort (Alt),10000,Random,0.047587,170.58
Bucket Sort (Alt),10000,Worst,0.058724,170.58
Bucket Sort (Alt),100000,Best,0.278419,1732.16
Bucket Sort (Alt),100000,Random,0.303127,1732.13
Bucket Sort (Alt),100000,Worst,0.274414,1732.13
Bucket Sort (Alt),1000000,Best,2.812454,16352.42
Bucket Sort (Alt),1000000,Random,2.878749,16356.49
Bucket Sort (Alt),1000000,Worst,2.801137,16356.52
Cartesian Tree Sort,1000,Best,0.014309,114.05
Cartesian Tree Sort,1000,Random,0.018638,121.64
Cartesian Tree Sort,1000,Worst,0.016935,105.55
Cartesian Tree Sort,10000,Best,0.05939,1106.86
Cartesian Tree Sort,10000,Random,0.157249,1168.01
Cartesian Tree Sort,10000,Worst,0.073521,1023.83
Cartesian Tree Sort,100000,Best,0.366272,10942.48
Cartesian Tree Sort,100000,Random,1.955924,11648.79
